Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://bioportal.bioontology.org#ontologyId,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importCreator,http://protege.stanford.edu/ontologies/metadata/provenance.owl#importDate,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyName,http://protege.stanford.edu/ontologies/metadata/provenance.owl#ontologyVersion,http://protege.stanford.edu/ontologies/metadata/provenance.owl#termUrl
http://purl.bioontology.org/ontology/SNOMEDCT/3738000,Viral hepatitis,,"VH - Viral hepatitis|Viral hepatitis, NOS|Viral hepatitis (disorder)|Unspecified viral hepatitis without mention of hepatic coma",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/312130009|http://purl.bioontology.org/ontology/SNOMEDCT/235862008,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/128998007,Inflammatory disorder of the cardiovascular system,,Inflammatory disorder of the cardiovascular system (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/363171009,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/19660004,Disorder of soft tissue,,"Soft tissue disorder|Disorder of soft tissue, NOS|Disorder of soft tissue (disorder)",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/123946008,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/68282007,Granular degeneration,,Floccular degeneration|Albuminous degeneration|Granular degeneration (morphologic abnormality)|Albuminoid degeneration|Parenchymatous degeneration|Cloudy swelling,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/33359002,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=68282007
http://purl.bioontology.org/ontology/SNOMEDCT/25322007,Dilatation,,"Dilation|Distension, NOS|Distention|Distension|Dilatation, NOS|Distention, NOS|Dilatation (morphologic abnormality)|Ectasia",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107658001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=25322007
http://purl.bioontology.org/ontology/SNOMEDCT/363171009,Inflammation of specific body systems,,Inflammation of specific body systems (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/399902003|http://purl.bioontology.org/ontology/SNOMEDCT/363170005,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/25998009,"Metabolic acidosis, increased anion gap (IAG)",,"Metabolic acidosis, increased anion gap (IAG) (disorder)|Metabolic acidosis, increased anion gap (IAG), NOS",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/59455009,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/362965005,Disorder of body system,,Disorder of body system (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/123946008,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/107666005,Fluid disturbance,,Fluid disturbance (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/107658001,46896,,,,,,http://bioportal.bioontology.org/visualize/46896?conceptid=107666005
http://purl.bioontology.org/ontology/SNOMEDCT/417746004,Traumatic injury,,Injury - disorder|Trauma|Injury|Traumatic injury (disorder)|Disorder resulting from physical damage to the body,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/417163006,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/238138001,Excess intake of micronutrients,,Excess intake of micronutrients (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/302872003,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/255061006,Benign neoplasm of abdomen,,Benign neoplasm of abdomen (disorder)|Benign tumour of abdomen|Benign tumor of abdomen (disorder)|Benign tumor of abdomen,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/92454000,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/118222006,General finding of observation of patient,,General patient finding|General condition of patient|General observation of patient|General finding of observation of patient (finding),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/250171008,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/197321007,Steatosis of liver,,Steatosis of liver (disorder)|Hepatic lipidosis|Fatty liver,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/235856003|http://purl.bioontology.org/ontology/SNOMEDCT/362975008,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/448675008,Malignant neoplasm of digestive system,,Malignant neoplasm of digestive system (disorder)|Cancer of digestive system,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/363346000,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/128294001,Chronic inflammatory disorder,,Chronic inflammatory disease|Chronic inflammatory disorder (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/27624003|http://purl.bioontology.org/ontology/SNOMEDCT/128139000,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/48125009,Injury of trunk,,"Injury of trunk (disorder)|Injury of trunk, NOS|Truncal injury",false,,,http://purl.bioontology.org/ontology/SNOMEDCT/417746004|http://purl.bioontology.org/ontology/SNOMEDCT/123397009,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/197274000,Subacute hepatic necrosis,,Subacute necrosis of liver (disorder)|Subacute necrosis of liver,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/87248009,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/239953001,Soft tissue lesion,,Soft tissue lesion (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/19660004,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/76319000,Diffuse necrosis,,Diffuse necrosis (morphologic abnormality),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/6574001,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/284005003,Abdominal cavity injury,,Abdominal cavity injury (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/128069005|http://purl.bioontology.org/ontology/SNOMEDCT/284346004,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/123397009,Injury of anatomical site,,Injury of anatomical site (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/123946008|http://purl.bioontology.org/ontology/SNOMEDCT/417163006,46896,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/408646000,Adenocarcinoma of liver,,Adenocarcinoma of liver (disorder),false,,,http://purl.bioontology.org/ontology/SNOMEDCT/443961001|http://purl.bioontology.org/ontology/SNOMEDCT/93870000,46896,,,,,,
