COMPOUND_NAME,COMPOUND_ABBREVIATION,COMPOUND_NO,Human - in vitro,Rat - in vitro,Rat - in vivo - Liver - Single,Rat - in vivo - Liver - Repeat,Rat - in vivo - Kidney - Single,Rat - in vivo - Kidney - Repeat
captopril,CAP,00094,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/captopril.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/captopril.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/captopril.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/captopril.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/captopril.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/captopril.Rat.in_vivo.Kidney.Repeat.zip
carbamazepine,CBZ,00018,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/carbamazepine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/carbamazepine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/carbamazepine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/carbamazepine.Rat.in_vivo.Liver.Repeat.zip,,
carbon tetrachloride,CCL4,00003,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/carbon_tetrachloride.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/carbon_tetrachloride.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/carbon_tetrachloride.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/carbon_tetrachloride.Rat.in_vivo.Liver.Repeat.zip,,
carboplatin,CBP,00133,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/carboplatin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/carboplatin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/carboplatin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/carboplatin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/carboplatin.Rat.in_vivo.Kidney.Repeat.zip
cephalothin,CLT,00141,,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/cephalothin.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/cephalothin.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/cephalothin.Rat.in_vivo.Liver.Repeat.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Single/cephalothin.Rat.in_vivo.Kidney.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Kidney/Repeat/cephalothin.Rat.in_vivo.Kidney.Repeat.zip
chloramphenicol,CMP,00064,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/chloramphenicol.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/chloramphenicol.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/chloramphenicol.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/chloramphenicol.Rat.in_vivo.Liver.Repeat.zip,,
chlormadinone,CLM,00126,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/chlormadinone.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/chlormadinone.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/chlormadinone.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/chlormadinone.Rat.in_vivo.Liver.Repeat.zip,,
chlormezanone,CMN,00052,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/chlormezanone.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/chlormezanone.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/chlormezanone.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/chlormezanone.Rat.in_vivo.Liver.Repeat.zip,,
chlorpheniramine,CHL,00090,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/chlorpheniramine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/chlorpheniramine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/chlorpheniramine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/chlorpheniramine.Rat.in_vivo.Liver.Repeat.zip,,
chlorpromazine,CPZ,00016,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/chlorpromazine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/chlorpromazine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/chlorpromazine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/chlorpromazine.Rat.in_vivo.Liver.Repeat.zip,,
chlorpropamide,CPP,00080,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/chlorpropamide.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/chlorpropamide.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/chlorpropamide.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/chlorpropamide.Rat.in_vivo.Liver.Repeat.zip,,
cimetidine,CIM,00035,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Human/in_vitro/cimetidine.Human.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vitro/cimetidine.Rat.in_vitro.Liver.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Single/cimetidine.Rat.in_vivo.Liver.Single.zip,ftp://ftp.biosciencedbc.jp/archive/open-tggates/LATEST/Rat/in_vivo/Liver/Repeat/cimetidine.Rat.in_vivo.Liver.Repeat.zip,,
