drug_name,dili_label,severity,injury_type,evidence_count,clinical_liver_risk_score
capecitabine,0.0,2.0,E*,240,2.0
capivasertinib,,,,241,
caplacizumab,,,E,242,
capmatinib,,,E*,243,
capmatinib hydrochloride,,3.0,,,3.0
capreomycin,0.0,,E,244,
capreomycin sulfate,,3.0,,,3.0
capsaicin,0.0,,,,
captopril,1.0,7.0,B,245,7.0
caramiphen,,,E,246,
carbamazepine,1.0,7.0,A,247,7.0
carbenicillin,1.0,,D,248,
carbenicillin disodium,,3.0,,,3.0
carbidopa,0.0,3.0,E,249,3.0
carbimazole,1.0,,,,
carbinoxamine,0.0,,E,250,
carbinoxamine maleate,,0.0,,,0.0
carbon tetrachloride,1.0,,,,
carboplatin,1.0,3.0,D,251,3.0
carboprost tromethamine,0.0,0.0,,,0.0
carfilzomib,,8.0,D,252,8.0
carglumic acid,,0.0,E,253,0.0
cariprazine,,,E*,254,
cariprazine hydrochloride,,3.0,,,3.0
carisoprodol,0.0,0.0,E,255,0.0
carmustine,0.0,,E*,256,
carvedilol,1.0,3.0,D,257,3.0
casanthranol,,,X,258,
cascara,,,D,259,
casimersen,,0.0,E,260,0.0
casirivimab,,,E,261,
caspofungin,0.0,,D,262,
caspofungin acetate,,7.0,,,7.0
castor oil,,,E,263,
cat's claw,,,E,264,
cbd oil,,,C[HD],265,
cedazuridine,,,E*,266,
cefaclor,1.0,3.0,C,267,3.0
cefadroxil,1.0,,D,268,
cefadroxil hemihydrate,,7.0,,,7.0
cefalotin,1.0,,,,
cefamandole,1.0,,,,
cefazolin,1.0,,B,269,
cefazolin sodium,,3.0,,,3.0
cefcapene,1.0,,,,
cefdinir,1.0,7.0,D,270,7.0
cefditoren,0.0,,E*,271,
cefditoren pivoxil,,2.0,,,2.0
cefepime,1.0,,D,272,
cefepime hydrochloride,,3.0,,,3.0
cefiderocol,,,E*,273,
cefiderocol sulfate tosylate,,2.0,,,2.0
cefixime,0.0,4.0,C,274,4.0
cefmetazole,1.0,,,,
cefoperazone,1.0,,D,275,
cefoperazone sodium,,3.0,,,3.0
cefotaxime,1.0,,D,276,
cefotaxime sodium,,5.0,,,5.0
cefotetan disodium,,3.0,,,3.0
cefotiam,1.0,,,,
cefoxitin,0.0,,E*,277,
cefoxitin sodium,,3.0,,,3.0
cefozopran,1.0,,,,
cefpirome,1.0,,,,
cefpodoxime,0.0,,D,278,
cefpodoxime proxetil,,3.0,,,3.0
cefprozil,1.0,4.0,D,279,4.0
ceftaroline,,,E*,280,
ceftaroline fosamil,,3.0,,,3.0
ceftazidime,1.0,3.0,D,281,3.0
ceftibiprole medocairil,,,,282,
ceftibuten,0.0,,D,283,
ceftibuten dihydrate,,3.0,,,3.0
ceftizoxime,0.0,,E*,284,
ceftizoxime sodium,,4.0,,,4.0
ceftolozane,,,E*,285,
ceftriaxone,1.0,,B,286,
ceftriaxone sodium,,4.0,,,4.0
cefuroxime,1.0,,C,287,
cefuroxime sodium,,5.0,,,5.0
celandine,,,B,288,
celecoxib,1.0,3.0,B,289,3.0
celiprolol,1.0,,,,
cemiplimab,,,C,290,
cenobamate,,3.0,D,291,3.0
centella,,,C,292,
cephalexin,1.0,4.0,B,293,4.0
cephapirin,0.0,,,,
cephradine,0.0,4.0,E*,294,4.0
ceritinib,,4.0,D,295,4.0
cerivastatin,1.0,,,,
certolizumab,,,E*,296,
certolizumab pegol,0.0,4.0,,,4.0
cetirizine,1.0,,C,297,
cetirizine hydrochloride,,3.0,,,3.0
cetrorelix acetate,,3.0,,,3.0
cetuximab,0.0,0.0,E,298,0.0
cevimeline,,,E,299,
cevimeline hydrochloride,,3.0,,,3.0
chamomile,,,E,300,
chaparral,,,B,301,
chaste tree,,,E,302,
chenodiol,,8.0,E*,303,8.0
chi r yun,,,C,304,
chloral hydrate,0.0,,E,305,
chlorambucil,1.0,3.0,D,306,3.0
chloramphenicol,0.0,0.0,B,307,0.0
chlorcyclizine,1.0,,E,308,
chlorcyclizine hydrochloride,,0.0,,,0.0
chlordiazepoxide,1.0,,C,309,
chlordiazepoxide hydrochloride,,5.0,,,5.0
chlormadinone,1.0,,,,
chlormezanone,1.0,8.0,,,8.0
chloroquine,1.0,,D,310,
chloroquine phosphate,,3.0,,,3.0
chlorothiazide,1.0,2.0,D,311,2.0
chlorpheniramine,0.0,,E,312,
chlorpheniramine maleate,,0.0,,,0.0
chlorpromazine,1.0,,A,313,
chlorpromazine hydrochloride,,2.0,,,2.0
chlorpropamide,1.0,2.0,B,314,2.0
chlortetracycline,0.0,,E*,315,
chlorthalidone,0.0,2.0,E*,316,2.0
chlorzoxazone,1.0,8.0,B,317,8.0
cholestyramine,0.0,3.0,E,318,3.0
cholic acid,,3.0,D[HD],319,3.0
choline,,,E,320,
choline c-11,,0.0,,,0.0
chondroitin sulfate,,,D,321,
choriogonadotropin alfa,,3.0,,,3.0
chorionic gonadotrophin,,,E,322,
chromium,,,B[HD],323,
cibenzoline,1.0,,,,
ciclopirox,0.0,,,,
cidofovir,0.0,5.0,E,324,5.0
ciglitazone,1.0,,,,
cilastatin,0.0,,E,325,
cilazapril,1.0,,,,
cilnidipine,1.0,,,,
cilostazol,,5.0,E,326,5.0
cimetidine,1.0,2.0,B,327,2.0
cinacalcet,0.0,,,,
cinacalcet hydrochloride,,0.0,,,0.0
cinchophen,1.0,8.0,,,8.0
cinitapride,1.0,,,,
cipaglucosidase,,,,328,
ciprofibrate,1.0,,,,
ciprofloxacin,1.0,,A,329,
ciprofloxacin hydrochloride,,7.0,,,7.0
cisapride,0.0,,E,330,
cisatracurium besylate,0.0,0.0,,,0.0
cisplatin,1.0,3.0,C,331,3.0
citalopram,1.0,,C,332,
citalopram hydrobromide,,7.0,,,7.0
citicoline,0.0,,,,
cladribine,0.0,3.0,E,333,3.0
clarithromycin,1.0,8.0,B,334,8.0
clavulanate,,,A,335,
clemastine,0.0,,E,336,
clemastine fumarate,,0.0,,,0.0
clevidipine,0.0,0.0,,,0.0
clindamycin,1.0,,B,337,
clindamycin hydrochloride,,3.0,,,3.0
clindamycin phosphate,,3.0,,,3.0
clobazam,1.0,3.0,E,338,3.0
clobetasol,1.0,,,,
clodronic acid,1.0,,,,
clofarabine,,8.0,D,339,8.0
clofazimine,1.0,,E,340,
clofibrate,1.0,3.0,D,341,3.0
clomacran,1.0,8.0,,,8.0
clomacron,1.0,,,,
clometacin,1.0,8.0,,,8.0
clomethiazole,1.0,,,,
clomiphene,1.0,,C,342,
clomiphene citrate,,3.0,,,3.0
clomipramine,1.0,,D,343,
clomipramine hydrochloride,,8.0,,,8.0
clonazepam,1.0,3.0,D,344,3.0
clonidine,0.0,,E,345,
clonidine hydrochloride,,3.0,,,3.0
cloperastine,1.0,,,,
clopidogrel,1.0,,B,346,
clopidogrel bisulfate,,7.0,,,7.0
clorazepate,0.0,,D,347,
clorazepate dipotassium,,3.0,,,3.0
clotiazepam,1.0,,,,
clotrimazole,1.0,3.0,E,348,3.0
cloxacillin,1.0,,B,349,
cloxacillin sodium,,3.0,,,3.0
clozapine,1.0,5.0,A,350,5.0
cobicistat,0.0,5.0,E*,351,5.0
cobimetinib fumarate,,4.0,,,4.0
cobimetnib,,,D,352,
cocaine,1.0,,A [HD],353,
codeine,0.0,,E,354,
codeine sulfate,,0.0,,,0.0
coenzyme q10,,,E,355,
colchicine,0.0,6.0,E,356,6.0
colesevelam,0.0,,E,357,
colesevelam hydrochloride,,3.0,,,3.0
colestipol,0.0,,E,358,
colestipol hydrochloride,,3.0,,,3.0
colistimethate,0.0,,,,
colistimethate sodium,,0.0,,,0.0
comfrey,,,C,359,
concizumab,,,,360,
conivaptan,0.0,,,,
conivaptan hydrochloride,,0.0,,,0.0
copanlisib,,,E*,361,
copanlisib dihydrochloride,,0.0,,,0.0
copper,,,A [HD],362,
copper cu-64 dotatate,,0.0,,,0.0
cordyceps,,,E,363,
corticorelin ovine triflutate,0.0,0.0,,,0.0
corticotropin,0.0,0.0,,,0.0
cortisone,,,E,364,
cortisone acetate,0.0,0.0,,,0.0
cosibelimab,,,,365,
cosyntropin,0.0,0.0,,,0.0
covid-19 drugs,,,E,366,
covid-19 monoclonals,,,E,367,
covid-19 vaccines,,,C,368,
cranberry,,,E,369,
crinecerfont,,,E,370,
crizanlizumab,,,E,371,
crizotinib,1.0,8.0,C,372,8.0
crofelemer,,4.0,E,373,4.0
cromoglicate,1.0,3.0,,,3.0
cromolyn,,,E,374,
crovalimab,,,,375,
cupric chloride,0.0,0.0,,,0.0
curcumin,1.0,,,,
cyamemazine,1.0,,,,
cyanocobalamin,0.0,0.0,E,376,0.0
cyclizine,,,E,377,
cyclobenzaprine,1.0,,E*,378,
cyclobenzaprine hydrochloride,,5.0,,,5.0
cyclofenil,1.0,8.0,,,8.0
cyclophosphamide,1.0,5.0,B,379,5.0
cycloserine,,3.0,E*,380,3.0
cyclosporine,1.0,7.0,C,381,7.0
cyclothiazide,1.0,,,,
cyproheptadine,1.0,,C,382,
cyproheptadine hydrochloride,,7.0,,,7.0
cyproterone,1.0,,B,383,
cysteamine,,,D[HD],384,
cysteamine bitartrate,,3.0,,,3.0
cytarabine,1.0,3.0,C,385,3.0
dabigatran,1.0,,D,386,
dabigatran etexilate mesylate,,0.0,,,0.0
dabrafenib,,,E*,387,
dabrafenib mesylate,,3.0,,,3.0
