drug_name,dili_label,severity,injury_type,evidence_count,clinical_liver_risk_score
sarpogrelate,1.0,,,,
satralizumab,,,E*,1350,
saw palmetto,,,D,1351,
saxagliptin,0.0,,E*,1352,
saxagliptin hydrochloride,,0.0,,,0.0
scopolamine,0.0,0.0,E,1353,0.0
sebelipase alfa,,,E,1354,
secnidazole,,7.0,E,1355,7.0
secobarbital,0.0,,E,1356,
secobarbital sodium,,3.0,,,3.0
secretin,0.0,,,,
secretin synthetic human,,0.0,,,0.0
secukinumab,,,E*,1357,
seladelpar,,,E*,1358,
selegiline,0.0,,E*,1359,
selegiline hydrochloride,,0.0,,,0.0
selenious acid,,3.0,,,3.0
selenium,,,E,1360,
selexipag,,0.0,E,1361,0.0
selinexor,,4.0,E*,1362,4.0
selpercatinib,,3.0,E*,1363,3.0
selumetinib,,,E*,1364,
selumetinib sulfate,,3.0,,,3.0
semaglutide,,0.0,D,1365,0.0
senna,,,D,1366,
sennoside,1.0,,,,
sertraline,1.0,,B,1367,
sertraline hydrochloride,,3.0,,,3.0
setmelanotide,,,E,1368,
setmelanotide acetate,,0.0,,,0.0
sevelamer,0.0,,E,1369,
sevelamer hydrochloride,,0.0,,,0.0
sevoflurane,,,B,1370,
sho saiko to,,,B,1371,
shou wu pian,,,A,1372,
sibutramine,1.0,,D,1373,
sibutramine hydrochloride,,4.0,,,4.0
sildenafil,1.0,,C,1374,
sildenafil citrate,,3.0,,,3.0
silicon,,,E,1375,
silodosin,0.0,3.0,E*,1376,3.0
siltuximab,,,E,1377,
simeprevir,,,B,1378,
simethicone,0.0,,E,1379,
simethicone-cellulose,,0.0,,,0.0
simvastatin,1.0,3.0,A,1380,3.0
sincalide,0.0,0.0,,,0.0
siponimod,,3.0,E*,1381,3.0
sirolimus,1.0,8.0,C,1382,8.0
sitagliptin,1.0,,D,1383,
sitagliptin phosphate,,4.0,,,4.0
sitaxsentan,1.0,8.0,,,8.0
skullcap,,,B,1384,
slimquick,,,C,1385,
slippery elm,,,E,1386,
sodium benzoate,,,E,1387,
sodium bicarbonate,0.0,0.0,,,0.0
sodium fluoride f-18,,0.0,,,0.0
sodium lactate,0.0,0.0,,,0.0
sodium nitroprusside,,0.0,,,0.0
sodium oxybate,,0.0,,,0.0
sodium phenylbutyrate,,4.0,,,4.0
sodium polystyrene sulfonate,0.0,0.0,,,0.0
sodium thiosulfate,0.0,0.0,,,0.0
sodium zirconium cyclosilicate,,0.0,,,0.0
sofalcone,1.0,,,,
sofosbuvir,,0.0,A,1388,0.0
solifenacin,0.0,,D,1389,
solifenacin succinate,,3.0,,,3.0
solriamfetol,,,E,1390,
solriamfetol hydrochloride,,0.0,,,0.0
somapacitan,,,E,1391,
somatrogon,,,,1392,
somatropin,,0.0,,,0.0
somatropin recombinant,0.0,,,,
sonidegib,,,E*,1393,
sonidegib phosphate,,3.0,,,3.0
sorafenib,1.0,,B,1394,
sorafenib tosylate,,8.0,,,8.0
sorbitol,0.0,0.0,,,0.0
sotaglifloxin,,,,1395,
sotalol,0.0,,E,1396,
sotalol hydrochloride,,3.0,,,3.0
sotatercept,,,,1397,
sotorasib,,3.0,D,1398,3.0
sotrovimab,,,E,1399,
sparfloxacin,1.0,,,,
sparsentan,,,,1400,
spectinomycin hydrochloride,,3.0,,,3.0
spesolimab,,,,1401,
spironolactone,1.0,2.0,D,1402,2.0
spirulina,,,D,1403,
st john's wort,,,D,1404,
stanozolol,1.0,,A,1405,
stavudine,1.0,8.0,A,1406,8.0
sterile water,0.0,0.0,,,0.0
stinging nettle,,,E,1407,
stiripentol,,0.0,E,1408,0.0
streptokinase,1.0,,,,
streptomycin,0.0,,E*,1409,
streptomycin sulfate,,0.0,,,0.0
streptozocin,,3.0,D,1410,3.0
succimer,1.0,2.0,E,1411,2.0
succinylcholine,0.0,,,,
succinylcholine chloride,,0.0,,,0.0
sucralfate,0.0,0.0,E,1412,0.0
sufentanil,0.0,,E,1413,
sufentanil citrate,,0.0,,,0.0
sugammadex sodium,,0.0,,,0.0
sulbactam,,,E,1414,
sulconazole nitrate,0.0,,,,
sulcotidil,1.0,,,,
sulfabenzamide,0.0,,,,
sulfacarbamide,1.0,8.0,,,8.0
sulfadiazine,1.0,3.0,A,1415,3.0
sulfadoxine,,,C,1416,
sulfamerazine,,,A,1417,
sulfamethazine,,,A,1418,
sulfamethizole,1.0,0.0,A,1419,0.0
sulfamethoxazole,1.0,,A,1420,
sulfanilamide,1.0,,,,
sulfasalazine,1.0,5.0,A,1421,5.0
sulfathiazole,1.0,8.0,,,8.0
sulfinpyrazone,,,A,1422,
sulfisoxazole,,,A,1423,
sulfonamides*,1.0,,,,
sulindac,1.0,8.0,A,1424,8.0
suloctidil,1.0,8.0,,,8.0
sulopenem etzadroxil,,,,1425,
sulpiride,1.0,,,,
sumatriptan,0.0,,E,1426,
sumatriptan succinate,,3.0,,,3.0
sunitinib,1.0,,B,1427,
sunitinib malate,,8.0,,,8.0
suplatast,1.0,,,,
sutimlimab,,,,1428,
suvorexant,,0.0,E,1429,0.0
suzetrigine,,,E,1430,
tacrine,1.0,,A,1431,
tacrolimus,1.0,5.0,C,1432,5.0
tadalafil,0.0,3.0,D,1433,3.0
tafamidis,,,E,1434,
tafamidis meglumine,,0.0,,,0.0
tafasitamab,,,E,1435,
tafenoquine,,,E,1436,
tafenoquine succinate,,5.0,,,5.0
tagraxofusp,,,E*,1437,
talazoparib,,,E*,1438,
talazoparib tosylate,,3.0,,,3.0
taliglucerase,,,E,1439,
talquetamab,,,,1440,
tamoxifen,1.0,,B,1441,
tamoxifen citrate,,8.0,,,8.0
tamsulosin,1.0,,D,1442,
tamsulosin hydrochloride,,0.0,,,0.0
tandospirone,1.0,,,,
tapentadol,0.0,,X,1443,
tapentadol hydrochloride,,0.0,,,0.0
tara flour,,,B,1444,
tarlatamab,,,,1445,
tasimelteon,,3.0,E,1446,3.0
tasosartan,1.0,8.0,,,8.0
tauroursodeoxycholic acid,1.0,,,,
tazemetostat,,,E*,1447,
tazemetostat hydrobromide,,3.0,,,3.0
tazobactam,0.0,,E,1448,
tebentafusp,,,E*,1449,
technetium tc-99m exametazime kit,,0.0,,,0.0
teclisumab,,,D,1450,
tecovirimat,,0.0,E,1451,0.0
tedizolid,,,E*,1452,
tedizolid phosphate,,3.0,,,3.0
tegaserod,0.0,,E,1453,
tegaserod maleate,,3.0,,,3.0
telaprevir,1.0,,B,1454,
telavancin,,,E,1455,
telbivudine,0.0,2.0,E,1456,2.0
telithromycin,1.0,8.0,A,1457,8.0
telmisartan,1.0,3.0,E*,1458,3.0
telotristat,,,E,1459,
telotristat etiprate,,3.0,,,3.0
temafloxacin,1.0,,,,
temazepam,0.0,3.0,E,1460,3.0
temocapril,1.0,,,,
temozolomide,1.0,4.0,B,1461,4.0
temsirolimus,0.0,0.0,E*,1462,0.0
tenapanor,,,E,1463,
tenapanor hydrochloride,,0.0,,,0.0
tenecteplase,0.0,0.0,,,0.0
teniposide,1.0,3.0,E*,1464,3.0
tenofovir,1.0,,C,1465,
tenofovir disoproxil fumarate,,3.0,,,3.0
tenoxicam,1.0,,,,
teplizumab,,,E,1466,
tepotiib,,,E*,1467,
tepotinib hydrochloride,,7.0,,,7.0
teprenone,1.0,,,,
teprotumumab,,,X,1468,
terazosin,0.0,,E,1469,
terazosin hydrochloride,,0.0,,,0.0
terbinafine,1.0,,B,1470,
terbinafine hydrochloride,,8.0,,,8.0
terbutaline,1.0,,C[HD],1471,
terbutaline sulfate,,3.0,,,3.0
terfenadine,0.0,,,,
teriflunomide,,8.0,D,1472,8.0
teriparatide,0.0,,E,1473,
teriparatide acetate,,0.0,,,0.0
terlipressin,,,,1474,
terodiline,,,E,1475,
tesamorelin,,,E,1476,
testolactone,,,X,1477,
testosterone,1.0,,E,1478,
testosterone enanthate,,8.0,,,8.0
tetrabamate,1.0,8.0,,,8.0
tetrabenazine,,3.0,E,1479,3.0
tetracaine,0.0,,,,
tetracycline,1.0,,A [HD],1480,
tetracycline phosphate complex,,2.0,,,2.0
tetrahydrobiopterin,0.0,,,,
tetrazepam,1.0,,,,
tezacaftor,,,E*,1481,
tezepelumab,,,E,1482,
thalidomide,1.0,4.0,B,1483,4.0
theobromine,1.0,,,,
theophylline,0.0,,E,1484,
theophylline sodium glycinate,,0.0,,,0.0
thiabendazole,1.0,7.0,B,1485,7.0
thiamine,0.0,,E,1486,
thiamine hydrochloride,,0.0,,,0.0
thiocolchicoside,1.0,,,,
thioguanine,1.0,2.0,A,1487,2.0
thiopental,0.0,,E,1488,
thioridazine,1.0,,B,1489,
thioridazine hydrochloride,,5.0,,,5.0
thiotepa,1.0,3.0,D,1490,3.0
thiothixene,,2.0,X,1491,2.0
thyroid hormone,,,C,1492,
thyrotropin alfa,0.0,0.0,,,0.0
thyroxine,,,C,1493,
tiagabine,0.0,,E,1494,
tiagabine hydrochloride,,3.0,,,3.0
tianeptine,1.0,,,,
tiapride,1.0,,,,
tiaprofenic acid,1.0,,,,
tibolone,1.0,,C,1495,
ticagrelor,,0.0,D,1496,0.0
ticarcillin,0.0,,D,1497,
ticarcillin/clavulanate,,,D,1498,
ticlopidine,1.0,,A,1499,
ticlopidine hydrochloride,,4.0,,,4.0
ticrynafen,1.0,8.0,,,8.0
tigecycline,0.0,8.0,B,1500,8.0
tilbroquinol,1.0,8.0,,,8.0
tildrakizumab,,,E*,1501,
tiludronate,0.0,,X,1502,
tiludronate disodium,,0.0,,,0.0
timolol,0.0,,E,1503,
timolol maleate,,5.0,,,5.0
tin,,,E,1504,
tinidazole,1.0,3.0,E*,1505,3.0
tinospora,,,A,1506,
tinzaparin,,,E,1507,
tinzaparin sodium,,3.0,,,3.0
tiopronin,,3.0,,,3.0
tiotropium,0.0,,E,1508,
tipranavir,1.0,8.0,E*,1509,8.0
tiquizium,1.0,,,,
tiratricol,1.0,,,,
tirofiban,0.0,,X,1510,
tirofiban hydrochloride,,0.0,,,0.0
tirzepatide,,,C,1511,
tislelizumab,,,,1512,
tisotumab vedotin,,,E,1513,
tivozanib,,,E*,1514,
tivozanib hydrochloride,,4.0,,,4.0
tizanidine,1.0,,C,1515,
tizanidine hydrochloride,,8.0,,,8.0
tobramycin,1.0,,D,1516,
tocainide,1.0,,,,
tocilizumab,,,C,1517,
tofacitinib,,,E*,1518,
tofacitinib citrate,,3.0,,,3.0
tofersen,,,E,1519,
tolazamide,1.0,2.0,B,1520,2.0
tolbutamide,0.0,2.0,E*,1521,2.0
tolcapone,1.0,8.0,C,1522,8.0
tolmetin,1.0,,D,1523,
tolmetin sodium,,3.0,,,3.0
tolrestat,1.0,8.0,,,8.0
tolterodine,0.0,,D,1524,
tolterodine tartrate,,0.0,,,0.0
tolvaptan,1.0,8.0,C,1525,8.0
tongkat ali,,,D,1526,
topiramate,1.0,3.0,C,1527,3.0
topotecan,0.0,,E*,1528,
topotecan hydrochloride,,0.0,,,0.0
toremifene,,,D,1529,
toremifene citrate,,3.0,,,3.0
torsemide,,2.0,E,1530,2.0
tositumomab,,,E*,1531,
tovorafenib,,,E*,1532,
trabectedin,1.0,7.0,C[HD],1533,7.0
tralokinumab,,,E,1534,
tramadol,0.0,,E*,1535,
tramadol hydrochloride,,7.0,,,7.0
trametinib,,,E*,1536,
trametinib dimethyl sulfoxide,,3.0,,,3.0
trandolapril,1.0,4.0,E*,1537,4.0
tranexamic acid,0.0,0.0,X,1538,0.0
tranilast,1.0,,,,
tranylcypromine,1.0,,D,1539,
tranylcypromine sulfate,,3.0,,,3.0
trapidil,1.0,,,,
trastuzumab,1.0,0.0,C,1540,0.0
trastuzumab deruxtecan,,,E*,1541,
trastuzumab emtansine,,,B,1542,
trazodone,1.0,,B,1543,
trazodone hydrochloride,,5.0,,,5.0
tremelimumab,,,C,1544,
treprostinil,,,E,1545,
tretinoin,,3.0,E,1546,3.0
triacetyldiphenolisatin,1.0,8.0,,,8.0
triamcinolone,,,E,1547,
triamterene,1.0,5.0,D,1548,5.0
triazolam,0.0,4.0,E*,1549,4.0
tribulus terrestris,,,D,1550,
trichlormethiazide,1.0,,,,
triclabendazole,,5.0,E,1551,5.0
trientine,,,E,1552,
trientine hydrochloride,0.0,1.0,,,1.0
trifluoperazine,0.0,,D,1553,
trifluoperazine hydrochloride,,2.0,,,2.0
trifluridine/tipiracil,,,E,1554,
triheptanoin,,0.0,E,1555,0.0
trihexyphenidyl,0.0,,E*,1556,
trihexyphenidyl hydrochloride,,0.0,,,0.0
triiodothyronine,,,E*,1557,
trilaciclib,,,E,1558,
trilaciclib dihydrochloride,,3.0,,,3.0
trimebutine,1.0,,,,
trimetazidine,1.0,,,,
trimethadione,,5.0,,,5.0
trimethobenzamide,0.0,,D,1559,
trimethobenzamide hydrochloride,,5.0,,,5.0
trimethoprim,1.0,4.0,C,1560,4.0
trimetrexate,,,E*,1561,
trimetrexate glucuronate,,3.0,,,3.0
trimipramine,,,D,1562,
trimipramine maleate,,2.0,,,2.0
tripelennamine,1.0,,,,
triprolidine,0.0,,E,1563,
triprolidine hydrochloride,,0.0,,,0.0
triptorelin,1.0,,E,1564,
triptorelin pamoate,1.0,3.0,,,3.0
trisalicylate,,,A [HD],1565,
trofinetide,,,,1566,
troglitazone,1.0,8.0,A,1567,8.0
troleandomycin,1.0,,,,
tromethamine,,6.0,,,6.0
tropatepine,1.0,,,,
trospium,0.0,,E,1568,
trospium chloride,,0.0,,1569,0.0
trovafloxacin,1.0,,,,
trovafloxacin mesylate,,8.0,,,8.0
troxipide,1.0,,,,
tucatinib,,4.0,E*,1570,4.0
turmeric,,,B,1571,
tyramine,0.0,0.0,,,0.0
ublituximab,,,D,1572,
ubrogepant,,0.0,E,1573,0.0
ulipristal,,,E,1574,
ulipristal acetate,,0.0,,,0.0
umbralisib,,,E*,1575,
umbralisib tosylate,,3.0,,,3.0
umeclidinium bromide,,0.0,,,0.0
upadacitinib,,3.0,D,1576,3.0
uracil mustard,1.0,,,,
urapidil,1.0,,,,
uridine triacetate,,0.0,,,0.0
urofollitropin,0.0,0.0,,,0.0
urokinase,0.0,0.0,,,0.0
ursodiol,,0.0,D,1577,0.0
usnic acid,,,B,1578,
ustekinumab,0.0,0.0,E*,1579,0.0
uva-ursi,,,E,1580,
vaborbactam,,,X,1581,
vadadustat,,,,1582,
valaciclovir,1.0,3.0,,,3.0
valacyclovir,,,D,1583,
valbenazine,,,E,1584,
valbenazine tosylate,,4.0,,,4.0
valdecoxib,1.0,3.0,,,3.0
valerian,,,C,1585,
valganciclovir,,,E,1586,
valganciclovir hydrochloride,,3.0,,,3.0
valproate,,,A,1587,
valproic acid,1.0,8.0,,,8.0
valpromide,1.0,,,,
valrubicin,,,E,1588,
valsartan,1.0,3.0,D,1589,3.0
vanadium,,,E,1590,
vancomycin,1.0,,B,1591,
vancomycin hydrochloride,,0.0,,,0.0
vandetanib,,3.0,E*,1592,3.0
vardenafil,0.0,,E*,1593,
vardenafil hydrochloride,,3.0,,,3.0
varenicline,1.0,,C,1594,
varenicline tartrate,,2.0,,,2.0
vecuronium,0.0,,,,
vecuronium bromide,,0.0,,,0.0
vedolizumab,,,D,1595,
velaglucerase,,,E,1596,
velpatasvir,,,A,1597,
vemurafenib,1.0,3.0,E*,1598,3.0
venetoclax,,3.0,E,1599,3.0
venlafaxine,1.0,,B,1600,
venlafaxine hydrochloride,,7.0,,,7.0
verapamil,1.0,,B,1601,
verapamil hydrochloride,,3.0,,,3.0
vericiguat,,0.0,E,1602,0.0
verteporfin,,3.0,,,3.0
vestronidase alfa,,,X,1603,
vibegron,,0.0,E,1604,0.0
vidarabine,0.0,,,,
vigabatrin,,2.0,D,1605,2.0
vilazodone,,,E*,1606,
vilazodone hydrochloride,,0.0,,,0.0
viloxazine hydrochloride,,0.0,,,0.0
viltolarsen,,0.0,E,1607,0.0
vimseltinib,,,E*,1608,
vinblastine,0.0,,E*,1609,
vinblastine sulfate,,0.0,,,0.0
vincristine,1.0,,C,1610,
vincristine sulfate,,8.0,,,8.0
vindesine,1.0,,,,
vinorelbine,0.0,,E*,1611,
vinorelbine tartrate,,3.0,,,3.0
vismodegib,1.0,3.0,B,1612,3.0
vitamin a,1.0,,A [HD],1613,
vitamin a palmitate,,3.0,,,3.0
vitamin b,,,E,1614,
vitamin c,0.0,0.0,E,1615,0.0
vitamin d,,,E,1616,
vitamin e,0.0,0.0,E,1617,0.0
vitamin k,,,E,1618,
voclosporin,,0.0,,,0.0
voglibose,1.0,,,,
vonoprazan,,,,1619,
vorapaxar,,,E,1620,
vorapaxar sulfate,,0.0,,,0.0
vorasidenib,,,E*,1621,
voriconazole,1.0,8.0,B,1622,8.0
vorinostat,0.0,0.0,E,1623,0.0
vortioxetine,,,E*,1624,
vortioxetine hydrobromide,,0.0,,,0.0
vosoritide,,0.0,E,1625,0.0
voxelotor,,0.0,E*,1626,0.0
voxilaprevir,,,A,1627,
vutrisiran,,,E,1628,
warfarin,1.0,,C,1629,
warfarin sodium,,5.0,,,5.0
xenazoic acid,1.0,8.0,,,8.0
ximelagatran,1.0,8.0,,,8.0
xylometazoline,1.0,,,,
yerba mate,,,D,1630,
yohimbe,,,E,1631,
zafirlukast,1.0,8.0,C,1632,8.0
zalcitabine,0.0,,E*,1633,
zaleplon,0.0,0.0,E,1634,0.0
zaltoprofen,1.0,,,,
zanamivir,0.0,,E,1635,
zanidatamab,,,,1636,
zanubrutinib,,4.0,E*,1637,4.0
zavegepant,,,E,1638,
zenocutuzumab,,,,1639,
zidovudine,1.0,8.0,B,1640,8.0
zileuton,1.0,5.0,D,1641,5.0
zilucoplan,,,,1642,
zimelidine,1.0,8.0,,,8.0
zinc,,,E,1643,
ziprasidone,1.0,,D,1644,
ziprasidone hydrochloride,,3.0,,,3.0
zolbetuximab,,,,1645,
zoledronate,1.0,,,,
zoledronic acid,,0.0,C,1646,0.0
zolmitriptan,0.0,3.0,D,1647,3.0
zolpidem,0.0,,E,1648,
zolpidem tartrate,,7.0,,,7.0
zomepirac,0.0,,,,
zonisamide,1.0,2.0,D,1649,2.0
zopiclone,1.0,,,,
,,,,,
,,,,,
,,,,,
,,,1584,1649,
,,,,,
